Even,Ten,Odd,Negative,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_15.thisRepN,trials_15.thisTrialN,trials_15.thisN,trials_15.thisIndex,trials_16.thisRepN,trials_16.thisTrialN,trials_16.thisN,trials_16.thisIndex,thisRow.t,notes,starttrain.started,key_resp.started,text.started,starttrain.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Even_Train.started,text_2.started,Even_Train.stopped,text_2.stopped,starttest.started,text_4.started,key_resp_2.started,starttest.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Even_Test.started,text_5.started,key_resp_3.started,Even_Test.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Ten_Train.started,text_7.started,text_7.stopped,Ten_Train.stopped,Ten_Test.started,text_8.started,key_resp_4.started,Ten_Test.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Odd_Train.started,text_3.started,Odd_Train.stopped,Odd_Test.started,text_9.started,key_resp_6.started,Odd_Test.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,Negative_Train.started,text_10.started,Negative_Train.stopped,text_10.stopped,Negative_Test.started,text_11.started,key_resp_7.started,Negative_Test.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,Even2.started,text_12.started,Even2.stopped,text_12.stopped,even2test.started,text_13.started,key_resp_8.started,even2test.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,ten2.started,text_14.started,ten2.stopped,text_14.stopped,ten2test.started,text_15.started,key_resp_9.started,ten2test.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,odd2.started,text_16.started,odd2.stopped,text_16.stopped,odd2test.started,text_17.started,key_resp_10.started,odd2test.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,neg2.started,text_18.started,neg2.stopped,text_18.stopped,neg2test.started,text_19.started,key_resp_11.started,neg2test.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
"91, 299, 31","282, 401, 66","134, 72, 188","136, 169, 0",0,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.62651899992488,,,,,,,,,,,,,,,,,,,,41.61532012489624,41.62651899992488,41.62651899992488,42.910718749975786,right,1.2709382919128984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
"10, 70, 56","20, 200, 160","97, 93, 3","-174, -9, -92",1,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.92093629180454,,,,,,,,,,,,,,,,,,,,42.911315749865025,42.92093629180454,42.92093629180454,43.911073583876714,right,0.9814817500300705,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9116822918877,43.918605458922684,43.918605458922684,47.9023972498253,space,3.9783107498660684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
12,60,39,-845,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.91363733401522,,,,,,,,,,,,,,,,,,,,,,,,,,,47.90632158401422,47.91363733401522,49.91046874993481,49.89680812484585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
136,220,55,-59,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.91046874993481,,,,,,,,,,,,,,,,,,,,,,,,,,,49.89702504198067,49.91046874993481,51.910265208920464,51.896448083920404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
2,40,95,-39,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.910265208920464,,,,,,,,,,,,,,,,,,,,,,,,,,,51.89715658384375,51.910265208920464,53.91065529198386,53.89608999993652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
32,20,7,-44,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.91065529198386,,,,,,,,,,,,,,,,,,,,,,,,,,,53.896798458881676,53.91065529198386,55.910654708975926,55.89681512489915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.89698358392343,55.910654708975926,55.910654708975926,60.98223620885983,space,5.065265541896224,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
"41, 187, 53","272,295,67","6, 168, 34","64, 21, 165",0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.99775433400646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.987941624829546,60.99775433400646,60.99775433400646,63.2599818748422,right,2.26170637505129,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
"313, 9, 33","21, 204, 155","2, 142, 48","264, 198, 211",0,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.264798333868384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.26045458391309,63.264798333868384,63.264798333868384,64.42742829187773,right,1.157472375081852,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
"10, 70, 56","20, 200, 160","97, 93, 3","-174, -9, -92",1,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.43923191702925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.42814687499776,64.43923191702925,64.43923191702925,65.41085254191421,left,0.9612856667954475,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
"112, 216, 128","800, 900, 550","253, 173, 257","-65, -51, -27",1,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.42253408394754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.41155245900154,65.42253408394754,65.42253408394754,66.23366058385,left,0.8060103328898549,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
"122, 40, 18","270, 290, 60","465, 323, 97","-84, -100, -244",1,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.24346974981017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.23401820892468,66.24346974981017,66.24346974981017,67.71485999994911,left,1.4660095840226859,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
"91, 299, 31","282, 401, 66","134, 72, 188","136, 169, 0",0,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.72652508388273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.7156418338418,67.72652508388273,67.72652508388273,68.43203529180028,right,0.6959588751196861,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.43233708385378,68.44376962492242,68.44376962492242,70.2104482089635,space,1.7607741670217365,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
136,220,55,-59,,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.22853074991144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.21718349982984,70.22853074991144,72.21210916689597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
32,20,7,-44,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.2264812500216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.21227941685356,72.2264812500216,74.21305620879866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
2,40,95,-39,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.22722799982876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.21333545888774,74.22722799982876,76.2120129589457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
12,60,39,-845,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.2270892499946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.21243454189971,76.2270892499946,78.2133317918051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.21339595899917,78.22722391691059,78.22722391691059,84.17736499989405,space,5.940749583998695,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
"10, 70, 56","20, 200, 160","97, 93, 3","-174, -9, -92",1,,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.19677941687405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.1848312499933,84.19677941687405,84.19677941687405,85.90989783382975,right,1.7128690839745104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
"122, 40, 18","270, 290, 60","465, 323, 97","-84, -100, -244",1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.91394991683774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.9102849168703,85.91394991683774,85.91394991683774,86.83313666679896,right,0.9136257499922067,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
"41, 187, 53","272,295,67","6, 168, 34","64, 21, 165",0,,,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.843335499987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.83350770897232,86.843335499987,86.843335499987,87.68170145899057,left,0.8355225420091301,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
"313, 9, 33","21, 204, 155","2, 142, 48","264, 198, 211",0,,,,,,,,,,,,,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.69298783387057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.68224879191257,87.69298783387057,87.69298783387057,88.76063320902176,left,1.0568366248626262,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
"112, 216, 128","800, 900, 550","253, 173, 257","-65, -51, -27",1,,,,,,,,,,,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.77173437480815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.76125629199669,88.77173437480815,88.77173437480815,89.36191029194742,right,0.5806252500042319,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
"91, 299, 31","282, 401, 66","134, 72, 188","136, 169, 0",0,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.37705000001006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.36260608397424,89.37705000001006,89.37705000001006,91.09392033400945,right,1.7152715008705854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.09428270882927,91.09790199995041,91.09790199995041,92.07976662483998,space,0.9666611249558628,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
12,60,39,-845,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.09675058396533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.08492283383384,92.09675058396533,94.09308537491597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390989,001,2023-11-13_15h32.48.892,main,2023.2.3,None,2023-11-13 15h33.01.438496 -0500,
