Even,Ten,Odd,Negative,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_15.thisRepN,trials_15.thisTrialN,trials_15.thisN,trials_15.thisIndex,trials_16.thisRepN,trials_16.thisTrialN,trials_16.thisN,trials_16.thisIndex,thisRow.t,notes,starttrain.started,key_resp.started,text.started,starttrain.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Even_Train.started,text_2.started,Even_Train.stopped,starttest.started,text_4.started,key_resp_2.started,starttest.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Even_Test.started,text_5.started,key_resp_3.started,Even_Test.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Ten_Train.started,text_7.started,Ten_Train.stopped,text_7.stopped,Ten_Test.started,text_8.started,key_resp_4.started,Ten_Test.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Odd_Train.started,text_3.started,Odd_Train.stopped,text_3.stopped,Odd_Test.started,text_9.started,key_resp_6.started,Odd_Test.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,Negative_Train.started,text_10.started,Negative_Train.stopped,text_10.stopped,Negative_Test.started,text_11.started,key_resp_7.started,Negative_Test.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,Even2.started,text_12.started,text_12.stopped,Even2.stopped,even2test.started,text_13.started,key_resp_8.started,even2test.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,ten2.started,text_14.started,text_14.stopped,ten2.stopped,ten2test.started,text_15.started,key_resp_9.started,ten2test.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,odd2.started,text_16.started,odd2.stopped,text_16.stopped,odd2test.started,text_17.started,key_resp_10.started,odd2test.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,neg2.started,text_18.started,text_18.stopped,neg2.stopped,neg2test.started,text_19.started,key_resp_11.started,neg2test.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
12,60,39,-845,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.54401862504892,,,,,,,,,,,,,,,,,,,,,,,,,,56.53135299985297,56.54401862504892,58.52995662507601,58.543986208038405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172881,001,2023-11-13_15h53.54.354,main,2023.2.3,None,2023-11-13 15h54.04.856473 -0500,
2,40,95,-39,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.543986208038405,,,,,,,,,,,,,,,,,,,,,,,,,,58.5302734170109,58.543986208038405,60.5272929999046,60.53037424990907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172881,001,2023-11-13_15h53.54.354,main,2023.2.3,None,2023-11-13 15h54.04.856473 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.52739637508057,60.53037424990907,60.53037424990907,62.96086770808324,space,2.4249756259378046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172881,001,2023-11-13_15h53.54.354,main,2023.2.3,None,2023-11-13 15h54.04.856473 -0500,
"41, 187, 53","272,295,67","6, 168, 34","64, 21, 165",0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.98095891694538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.969443999929354,62.98095891694538,62.98095891694538,63.743410292081535,left,0.749383833957836,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172881,001,2023-11-13_15h53.54.354,main,2023.2.3,None,2023-11-13 15h54.04.856473 -0500,
"91, 299, 31","282, 401, 66","134, 72, 188","136, 169, 0",0,,,,,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.748219083063304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.743821332929656,63.748219083063304,63.748219083063304,64.84336441685446,left,1.0823066250886768,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172881,001,2023-11-13_15h53.54.354,main,2023.2.3,None,2023-11-13 15h54.04.856473 -0500,
"10, 70, 56","20, 200, 160","97, 93, 3","-174, -9, -92",1,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.84799645794556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.84366137487814,64.84799645794556,64.84799645794556,67.04652079194784,right,2.1933944588527083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172881,001,2023-11-13_15h53.54.354,main,2023.2.3,None,2023-11-13 15h54.04.856473 -0500,
"112, 216, 128","800, 900, 550","253, 173, 257","-65, -51, -27",1,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0605482920073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.04713991703466,67.0605482920073,67.0605482920073,67.89397570793517,right,0.824072124902159,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172881,001,2023-11-13_15h53.54.354,main,2023.2.3,None,2023-11-13 15h54.04.856473 -0500,
"122, 40, 18","270, 290, 60","465, 323, 97","-84, -100, -244",1,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.90252595790662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.89443562505767,67.90252595790662,67.90252595790662,68.6306344580371,right,0.7163718328811228,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172881,001,2023-11-13_15h53.54.354,main,2023.2.3,None,2023-11-13 15h54.04.856473 -0500,
"313, 9, 33","21, 204, 155","2, 142, 48","264, 198, 211",0,,,,,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.64321474987082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.63193079200573,68.64321474987082,68.64321474987082,69.33022554195486,left,0.6858154581859708,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172881,001,2023-11-13_15h53.54.354,main,2023.2.3,None,2023-11-13 15h54.04.856473 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.33070883294567,69.34398250002414,69.34398250002414,70.71319124987349,space,1.357953584054485,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172881,001,2023-11-13_15h53.54.354,main,2023.2.3,None,2023-11-13 15h54.04.856473 -0500,
2,40,95,-39,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.73008620785549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.71898083295673,70.73008620785549,72.72652562498115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172881,001,2023-11-13_15h53.54.354,main,2023.2.3,None,2023-11-13 15h54.04.856473 -0500,
136,220,55,-59,,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.73001933307387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.72671741689555,72.73001933307387,74.7174286248628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172881,001,2023-11-13_15h53.54.354,main,2023.2.3,None,2023-11-13 15h54.04.856473 -0500,
12,60,39,-845,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.72635762486607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.71786837489344,74.72635762486607,76.71366758295335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172881,001,2023-11-13_15h53.54.354,main,2023.2.3,None,2023-11-13 15h54.04.856473 -0500,
32,20,7,-44,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.72724754200317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.71459683286957,76.72724754200317,78.71081191697158,78.71538050007075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172881,001,2023-11-13_15h53.54.354,main,2023.2.3,None,2023-11-13 15h54.04.856473 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.71090358286165,78.71538050007075,78.71538050007075,100.56289812503383,space,21.835708333179355,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172881,001,2023-11-13_15h53.54.354,main,2023.2.3,None,2023-11-13 15h54.04.856473 -0500,
"41, 187, 53","272,295,67","6, 168, 34","64, 21, 165",0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.58105558296666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.57060237508267,100.58105558296666,100.58105558296666,115.11462870799005,left,14.525848417077214,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172881,001,2023-11-13_15h53.54.354,main,2023.2.3,None,2023-11-13 15h54.04.856473 -0500,
"10, 70, 56","20, 200, 160","97, 93, 3","-174, -9, -92",1,,,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.12690262496471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.11599541688338,115.12690262496471,115.12690262496471,119.54733274993487,left,4.4159877500496805,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172881,001,2023-11-13_15h53.54.354,main,2023.2.3,None,2023-11-13 15h54.04.856473 -0500,
"122, 40, 18","270, 290, 60","465, 323, 97","-84, -100, -244",1,,,,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.56030966690741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.54795954190195,119.56030966690741,119.56030966690741,121.63094049994834,left,2.068618332967162,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172881,001,2023-11-13_15h53.54.354,main,2023.2.3,None,2023-11-13 15h54.04.856473 -0500,
"112, 216, 128","800, 900, 550","253, 173, 257","-65, -51, -27",1,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.64277274999768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.6316700829193,121.64277274999768,121.64277274999768,124.07725283293985,right,2.43400983302854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172881,001,2023-11-13_15h53.54.354,main,2023.2.3,None,2023-11-13 15h54.04.856473 -0500,
"91, 299, 31","282, 401, 66","134, 72, 188","136, 169, 0",0,,,,,,,,,,,,,,,,,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.08870079205371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.07787337503396,124.08870079205371,124.08870079205371,124.84654254186898,left,0.7511911250185221,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172881,001,2023-11-13_15h53.54.354,main,2023.2.3,None,2023-11-13 15h54.04.856473 -0500,
"313, 9, 33","21, 204, 155","2, 142, 48","264, 198, 211",0,,,,,,,,,,,,,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.85985258291475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.84717433294281,124.85985258291475,124.85985258291475,126.1967173749581,left,1.3249061251990497,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172881,001,2023-11-13_15h53.54.354,main,2023.2.3,None,2023-11-13 15h54.04.856473 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.19753604196012,126.21009937487543,126.21009937487543,127.44462929200381,space,1.219118749955669,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172881,001,2023-11-13_15h53.54.354,main,2023.2.3,None,2023-11-13 15h54.04.856473 -0500,
32,20,7,-44,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.46522304206155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.45326129207388,127.46522304206155,129.44506300007924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172881,001,2023-11-13_15h53.54.354,main,2023.2.3,None,2023-11-13 15h54.04.856473 -0500,
