Even,Ten,Odd,Negative,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_15.thisRepN,trials_15.thisTrialN,trials_15.thisN,trials_15.thisIndex,trials_16.thisRepN,trials_16.thisTrialN,trials_16.thisN,trials_16.thisIndex,thisRow.t,notes,starttrain.started,key_resp.started,text.started,starttrain.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Even_Train.started,text_2.started,Even_Train.stopped,text_2.stopped,starttest.started,text_4.started,key_resp_2.started,starttest.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Even_Test.started,text_5.started,key_resp_3.started,Even_Test.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Ten_Train.started,text_7.started,Ten_Train.stopped,text_7.stopped,Ten_Test.started,text_8.started,key_resp_4.started,Ten_Test.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Odd_Train.started,text_3.started,text_3.stopped,Odd_Train.stopped,Odd_Test.started,text_9.started,key_resp_6.started,Odd_Test.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,Negative_Train.started,text_10.started,text_10.stopped,Negative_Train.stopped,Negative_Test.started,text_11.started,key_resp_7.started,Negative_Test.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,Even2.started,text_12.started,text_12.stopped,Even2.stopped,even2test.started,text_13.started,key_resp_8.started,even2test.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,ten2.started,text_14.started,ten2.stopped,text_14.stopped,ten2test.started,text_15.started,key_resp_9.started,ten2test.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,odd2.started,text_16.started,odd2.stopped,text_16.stopped,odd2test.started,text_17.started,key_resp_10.started,odd2test.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,neg2.started,text_18.started,neg2.stopped,text_18.stopped,neg2test.started,text_19.started,key_resp_11.started,neg2test.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
136,220,55,-59,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.96133604203351,,,,,,,,,,,,,,,,,,,,,,,,,,,67.95268241711892,67.96133604203351,69.94772666716017,69.96179566718638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.94780904217623,69.96179566718638,69.96179566718638,75.11244491697289,space,5.142663708887994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"41, 187, 53","272,295,67","6, 168, 34","64, 21, 165",0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.13195954216644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.12066654209048,75.13195954216644,75.13195954216644,75.981214083964,left,0.8460726251360029,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"313, 9, 33","21, 204, 155","2, 142, 48","264, 198, 211",0,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.99390750005841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.98330833413638,75.99390750005841,75.99390750005841,76.66226975014433,left,0.6595857089851052,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"112, 216, 128","800, 900, 550","253, 173, 257","-65, -51, -27",1,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.67387070902623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.6629884170834,76.67387070902623,76.67387070902623,78.94849675009027,left,2.2621837919577956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"91, 299, 31","282, 401, 66","134, 72, 188","136, 169, 0",0,,,,,,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.96120495907962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.9492293340154,78.96120495907962,78.96120495907962,81.37880570907146,left,2.408442666986957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"122, 40, 18","270, 290, 60","465, 323, 97","-84, -100, -244",1,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.39027158403769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.37939191702753,81.39027158403769,81.39027158403769,83.59906570916064,left,2.1970138330943882,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"10, 70, 56","20, 200, 160","97, 93, 3","-174, -9, -92",1,,,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.61116545903496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.59979429212399,83.61116545903496,83.61116545903496,84.36214950005524,right,0.7497471261303872,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.36263920902275,84.36758133396506,84.36758133396506,85.81492704199627,space,1.437614249996841,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
2,40,95,-39,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.83110275003128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.82046245899983,85.83110275003128,87.82860750006512,87.81472095916979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
32,20,7,-44,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.82860750006512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.81541370903142,87.82860750006512,89.820136875147,89.81209041713737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
136,220,55,-59,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.820136875147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.81249816715717,89.820136875147,91.82027587504126,91.81217241706327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
12,60,39,-845,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.82027587504126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.81259591714479,91.82027587504126,93.82884924998507,93.81392433401197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.81408870918676,93.82884924998507,93.82884924998507,97.64552412508056,space,3.8082153340801597,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"91, 299, 31","282, 401, 66","134, 72, 188","136, 169, 0",0,,,,,,,,,,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.66616420913488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.65447950013913,97.66616420913488,97.66616420913488,99.062150250189,left,1.3853452510666102,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"313, 9, 33","21, 204, 155","2, 142, 48","264, 198, 211",0,,,,,,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.07376787508838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.06297833402641,99.07376787508838,99.07376787508838,100.18167320918292,left,1.1055609588511288,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"122, 40, 18","270, 290, 60","465, 323, 97","-84, -100, -244",1,,,,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.1944227500353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.18237637518905,100.1944227500353,100.1944227500353,101.13090087496676,right,0.924820041982457,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"10, 70, 56","20, 200, 160","97, 93, 3","-174, -9, -92",1,,,,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.14471312519163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.13160895905457,101.14471312519163,101.14471312519163,102.0814142501913,right,0.9298002091236413,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"112, 216, 128","800, 900, 550","253, 173, 257","-65, -51, -27",1,,,,,,,,,,,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.09516054205596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.08178204204887,102.09516054205596,102.09516054205596,102.72870804206468,left,0.6190575419459492,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
"41, 187, 53","272,295,67","6, 168, 34","64, 21, 165",0,,,,,,,,,,,,,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.73903437517583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.72924758400768,102.73903437517583,102.73903437517583,104.082427542191,left,1.33846729202196,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.08270687516779,104.09517750004306,104.09517750004306,106.25003254204057,space,2.1444844589568675,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
136,220,55,-59,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.26573683414608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.25450925016776,106.26573683414608,108.26174683403224,108.24893904197961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898866,001,2023-11-15_14h59.40.013,main,2023.2.3,None,2023-11-15 14h59.46.682682 -0500,
