Even,Ten,Odd,Negative,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_15.thisRepN,trials_15.thisTrialN,trials_15.thisN,trials_15.thisIndex,trials_16.thisRepN,trials_16.thisTrialN,trials_16.thisN,trials_16.thisIndex,thisRow.t,notes,starttrain.started,key_resp.started,text.started,starttrain.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Even_Train.started,text_2.started,Even_Train.stopped,starttest.started,text_4.started,key_resp_2.started,starttest.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Even_Test.started,text_5.started,key_resp_3.started,Even_Test.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Ten_Train.started,text_7.started,Ten_Train.stopped,text_7.stopped,Ten_Test.started,text_8.started,key_resp_4.started,Ten_Test.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Odd_Train.started,text_3.started,Odd_Train.stopped,Odd_Test.started,text_9.started,key_resp_6.started,Odd_Test.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,Negative_Train.started,text_10.started,Negative_Train.stopped,Negative_Test.started,text_11.started,key_resp_7.started,Negative_Test.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,Even2.started,text_12.started,text_12.stopped,Even2.stopped,even2test.started,text_13.started,key_resp_8.started,even2test.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,ten2.started,text_14.started,text_14.stopped,ten2.stopped,ten2test.started,text_15.started,key_resp_9.started,ten2test.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,odd2.started,text_16.started,odd2.stopped,text_16.stopped,odd2test.started,text_17.started,key_resp_10.started,odd2test.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,neg2.started,text_18.started,neg2.stopped,text_18.stopped,neg2test.started,text_19.started,key_resp_11.started,neg2test.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
"10, 70, 56","20, 200, 160","97, 93, 3","-174, -9, -92",1,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.539129958022386,,,,,,,,,,,,,,,,,,,50.5264434160199,50.539129958022386,50.539129958022386,52.27625029091723,right,1.7349855839274824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
"91, 299, 31","282, 401, 66","134, 72, 188","136, 169, 0",0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.28840704099275,,,,,,,,,,,,,,,,,,,52.27683233306743,52.28840704099275,52.28840704099275,53.6746942079626,left,1.3735552919097245,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.67516295798123,53.68925562500954,53.68925562500954,56.39205366605893,space,2.6879939169157296,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
2,40,95,-39,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.409133916022256,,,,,,,,,,,,,,,,,,,,,,,,,,56.39763179095462,56.409133916022256,58.395749625051394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
136,220,55,-59,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.40512929111719,,,,,,,,,,,,,,,,,,,,,,,,,,58.3961842500139,58.40512929111719,60.39218350010924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
32,20,7,-44,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.40575912501663,,,,,,,,,,,,,,,,,,,,,,,,,,60.392423749901354,60.40575912501663,62.39095558295958,62.39781758305617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
12,60,39,-845,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.39781758305617,,,,,,,,,,,,,,,,,,,,,,,,,,62.3912583750207,62.39781758305617,64.38927474990487,64.39290387509391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.3893545831088,64.39290387509391,64.39290387509391,72.79144187504426,space,8.389146958012134,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
"122, 40, 18","270, 290, 60","465, 323, 97","-84, -100, -244",1,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.8086928750854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.79805591609329,72.8086928750854,72.8086928750854,74.1059232079424,right,1.2858253340236843,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
"313, 9, 33","21, 204, 155","2, 142, 48","264, 198, 211",0,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.1158302910626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.10665533295833,74.1158302910626,74.1158302910626,74.88946941611357,left,0.7690269169397652,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
"10, 70, 56","20, 200, 160","97, 93, 3","-174, -9, -92",1,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.9008506659884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.89010587497614,74.9008506659884,74.9008506659884,75.64255391596816,right,0.7270241670776159,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
"91, 299, 31","282, 401, 66","134, 72, 188","136, 169, 0",0,,,,,,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.65495825000107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.64329195790924,75.65495825000107,75.65495825000107,76.62574070808478,left,0.9554445839021355,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
"112, 216, 128","800, 900, 550","253, 173, 257","-65, -51, -27",1,,,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.63882904103957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.62631637509912,76.63882904103957,76.63882904103957,77.32550454093143,right,0.6733724582009017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
"41, 187, 53","272,295,67","6, 168, 34","64, 21, 165",0,,,,,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.33905045804568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.32594512496144,77.33905045804568,77.33905045804568,78.17556387512013,left,0.8291162080131471,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.17587325000204,78.18914445792325,78.18914445792325,82.40796533296816,space,4.20673366705887,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
32,20,7,-44,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.42511650011875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.4134029999841,82.42511650011875,84.42378233303316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
2,40,95,-39,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.43907066597603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.4246959160082,84.43907066597603,86.40915862494148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
136,220,55,-59,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.42418416612782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.40952520794235,86.42418416612782,88.40910524991341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
12,60,39,-845,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.42433300008997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.40952449990436,88.42433300008997,90.40936595806852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.40954766608775,90.42229304090142,90.42229304090142,111.0082342911046,space,20.584961001062766,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
"41, 187, 53","272,295,67","6, 168, 34","64, 21, 165",0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.02528225001879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.01357620791532,111.02528225001879,111.02528225001879,112.33825912512839,left,1.3100239590276033,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
"112, 216, 128","800, 900, 550","253, 173, 257","-65, -51, -27",1,,,,,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.34331808309071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.33881270792335,112.34331808309071,112.34331808309071,116.37733349995688,right,4.0229482089634985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
"91, 299, 31","282, 401, 66","134, 72, 188","136, 169, 0",0,,,,,,,,,,,,,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.40575058292598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.37847724999301,116.40575058292598,116.40575058292598,117.82726395805366,left,1.420163125032559,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
"122, 40, 18","270, 290, 60","465, 323, 97","-84, -100, -244",1,,,,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.8384365409147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.82841391605325,117.8384365409147,117.8384365409147,119.94137487490661,right,2.0916332500055432,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
"313, 9, 33","21, 204, 155","2, 142, 48","264, 198, 211",0,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.95548829110339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.94205883308314,119.95548829110339,119.95548829110339,120.83923066593707,left,0.8760575831402093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
"10, 70, 56","20, 200, 160","97, 93, 3","-174, -9, -92",1,,,,,,,,,,,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.85022262507118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.83993979101069,120.85022262507118,120.85022262507118,125.65661758300848,right,4.79951245803386,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.65782424993813,125.66607741592452,125.66607741592452,126.84481187490746,space,1.1729108339641243,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
136,220,55,-59,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.86495600012131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.85347329103388,126.86495600012131,128.85834133299068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130892,001,2023-11-15_15h05.22.517,main,2023.2.3,None,2023-11-15 15h05.29.941152 -0500,
