Even,Ten,Odd,Negative,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_15.thisRepN,trials_15.thisTrialN,trials_15.thisN,trials_15.thisIndex,trials_16.thisRepN,trials_16.thisTrialN,trials_16.thisN,trials_16.thisIndex,thisRow.t,notes,starttrain.started,key_resp.started,text.started,starttrain.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Even_Train.started,text_2.started,Even_Train.stopped,text_2.stopped,starttest.started,text_4.started,key_resp_2.started,starttest.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Even_Test.started,text_5.started,key_resp_3.started,Even_Test.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Ten_Train.started,text_7.started,text_7.stopped,Ten_Train.stopped,Ten_Test.started,text_8.started,key_resp_4.started,Ten_Test.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Odd_Train.started,text_3.started,Odd_Train.stopped,text_3.stopped,Odd_Test.started,text_9.started,key_resp_6.started,Odd_Test.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,Negative_Train.started,text_10.started,Negative_Train.stopped,text_10.stopped,Negative_Test.started,text_11.started,key_resp_7.started,Negative_Test.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,Even2.started,text_12.started,text_12.stopped,Even2.stopped,even2test.started,text_13.started,key_resp_8.started,even2test.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,ten2.started,text_14.started,ten2.stopped,text_14.stopped,ten2test.started,text_15.started,key_resp_9.started,ten2test.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,odd2.started,text_16.started,odd2.stopped,text_16.stopped,odd2test.started,text_17.started,key_resp_10.started,odd2test.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,neg2.started,text_18.started,neg2.stopped,text_18.stopped,neg2test.started,text_19.started,key_resp_11.started,neg2test.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
"313, 9, 33","21, 204, 155","2, 142, 48","264, 198, 211",0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.40714512509294,,,,,,,,,,,,,,,,,,,,43.39340616716072,43.40714512509294,43.40714512509294,45.17666266718879,left,1.7598807921167463,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
"10, 70, 56","20, 200, 160","97, 93, 3","-174, -9, -92",1,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.19044362520799,,,,,,,,,,,,,,,,,,,,45.177396334009245,45.19044362520799,45.19044362520799,46.57401575008407,left,1.3703358341008425,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.574425416998565,46.57990208407864,46.57990208407864,49.759900792036206,space,3.1708022500388324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
32,20,7,-44,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.77637208416127,,,,,,,,,,,,,,,,,,,,,,,,,,,49.764902375172824,49.77637208416127,51.77325133420527,51.75987866707146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
136,220,55,-59,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.77325133420527,,,,,,,,,,,,,,,,,,,,,,,,,,,51.76013154210523,51.77325133420527,53.773724750149995,53.759712459053844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
2,40,95,-39,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.773724750149995,,,,,,,,,,,,,,,,,,,,,,,,,,,53.760039542103186,53.773724750149995,55.76574425003491,55.75736562511884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
12,60,39,-845,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.76574425003491,,,,,,,,,,,,,,,,,,,,,,,,,,,55.75777804199606,55.76574425003491,57.76026820903644,57.75718808406964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.757256084121764,57.76026820903644,57.76026820903644,60.11029900005087,space,2.339150167070329,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
"112, 216, 128","800, 900, 550","253, 173, 257","-65, -51, -27",1,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.12764820898883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.11725762509741,60.12764820898883,60.12764820898883,61.52306487504393,left,1.3842462508473545,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
"41, 187, 53","272,295,67","6, 168, 34","64, 21, 165",0,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.52804854209535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.52350950008258,61.52804854209535,61.52804854209535,63.17406000010669,left,1.6331385420635343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
"313, 9, 33","21, 204, 155","2, 142, 48","264, 198, 211",0,,,,,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.18390045920387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.174656375078484,63.18390045920387,63.18390045920387,64.20730958413333,right,1.0185232090298086,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
"91, 299, 31","282, 401, 66","134, 72, 188","136, 169, 0",0,,,,,,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.21851037512533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.20791941718198,64.21851037512533,64.21851037512533,65.4147113750223,right,1.1913963749539107,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
"10, 70, 56","20, 200, 160","97, 93, 3","-174, -9, -92",1,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.42719295900315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.41544241714291,65.42719295900315,65.42719295900315,66.35998041718267,right,0.9197707090061158,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
"122, 40, 18","270, 290, 60","465, 323, 97","-84, -100, -244",1,,,,,,,,,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.37366437516175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.36070437519811,66.37366437516175,66.37366437516175,68.20728325005621,right,1.8233095838222653,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.20768975000829,68.21335483412258,68.21335483412258,78.29054133407772,space,10.073808708926663,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
136,220,55,-59,,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.30585266719572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.29639645898715,78.30585266719572,80.29280050005764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
2,40,95,-39,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.30669454205781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.29358941712417,80.30669454205781,82.29036366706714,82.29784050001763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
32,20,7,-44,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.29784050001763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.29073345917277,82.29784050001763,84.29020570917055,84.29695683415048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
12,60,39,-845,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.29695683415048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.2905319170095,84.29695683415048,86.29034600011073,86.29522133409046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.29043954215012,86.29522133409046,86.29522133409046,90.20727537502535,space,3.899828583933413,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
"122, 40, 18","270, 290, 60","465, 323, 97","-84, -100, -244",1,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.22818187507801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.2168046250008,90.22818187507801,90.22818187507801,94.4929584171623,right,4.250347167020664,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
"313, 9, 33","21, 204, 155","2, 142, 48","264, 198, 211",0,,,,,,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.5065095841419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.4934679591097,94.5065095841419,94.5065095841419,98.81108279200271,right,4.296974124852568,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
"41, 187, 53","272,295,67","6, 168, 34","64, 21, 165",0,,,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.82279416709207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8118245000951,98.82279416709207,98.82279416709207,103.04297045920976,left,4.203412250149995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
"112, 216, 128","800, 900, 550","253, 173, 257","-65, -51, -27",1,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0567767501343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.04338262509555,103.0567767501343,103.0567767501343,105.14356537512504,right,2.0741533329710364,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
"10, 70, 56","20, 200, 160","97, 93, 3","-174, -9, -92",1,,,,,,,,,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.15680991718546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.14490104210563,105.15680991718546,105.15680991718546,106.04549395898357,right,0.8820172920823097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
"91, 299, 31","282, 401, 66","134, 72, 188","136, 169, 0",0,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.05618912517093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.04603695916012,106.05618912517093,106.05618912517093,108.57936741714366,left,2.519847000017762,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.57985437498428,108.59000870911404,108.59000870911404,111.75931133399718,space,3.1600720840506256,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
136,220,55,-59,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.77630512509495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.76394516718574,111.77630512509495,113.75965158408508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104533,001,2023-11-15_15h13.56.334,main,2023.2.3,None,2023-11-15 15h14.03.050594 -0500,
