Even,Ten,Odd,Negative,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_15.thisRepN,trials_15.thisTrialN,trials_15.thisN,trials_15.thisIndex,trials_16.thisRepN,trials_16.thisTrialN,trials_16.thisN,trials_16.thisIndex,thisRow.t,notes,starttrain.started,key_resp.started,text.started,starttrain.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Even_Train.started,text_2.started,Even_Train.stopped,text_2.stopped,starttest.started,text_4.started,key_resp_2.started,starttest.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Even_Test.started,text_5.started,key_resp_3.started,Even_Test.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Ten_Train.started,text_7.started,Ten_Train.stopped,Ten_Test.started,text_8.started,key_resp_4.started,Ten_Test.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Odd_Train.started,text_3.started,text_3.stopped,Odd_Train.stopped,Odd_Test.started,text_9.started,key_resp_6.started,Odd_Test.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,Negative_Train.started,text_10.started,Negative_Train.stopped,text_10.stopped,Negative_Test.started,text_11.started,key_resp_7.started,Negative_Test.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,Even2.started,text_12.started,Even2.stopped,even2test.started,text_13.started,key_resp_8.started,even2test.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,ten2.started,text_14.started,text_14.stopped,ten2.stopped,ten2test.started,text_15.started,key_resp_9.started,ten2test.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,odd2.started,text_16.started,odd2.stopped,text_16.stopped,odd2test.started,text_17.started,key_resp_10.started,odd2test.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,neg2.started,text_18.started,neg2.stopped,neg2test.started,text_19.started,key_resp_11.started,neg2test.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
"10, 70, 56","20, 200, 160","97, 93, 3","-174, -9, -92",1,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.567333000013605,,,,,,,,,,,,,,,,,,,,21.55501408292912,21.567333000013605,21.567333000013605,22.364073749864474,left,0.7888789169955999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577393,001,2023-11-13_15h11.03.761,main,2023.2.3,None,2023-11-13 15h11.12.157475 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.364373208023608,22.369004582986236,22.369004582986236,23.564012415939942,space,1.191741666989401,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577393,001,2023-11-13_15h11.03.761,main,2023.2.3,None,2023-11-13 15h11.12.157475 -0500,
136,220,55,-59,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.582463250029832,,,,,,,,,,,,,,,,,,,,,,,,,,,23.570747874910012,23.582463250029832,25.569031999912113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577393,001,2023-11-13_15h11.03.761,main,2023.2.3,None,2023-11-13 15h11.12.157475 -0500,
12,60,39,-845,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.57981220795773,,,,,,,,,,,,,,,,,,,,,,,,,,,25.569817415904254,25.57981220795773,27.566380915930495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577393,001,2023-11-13_15h11.03.761,main,2023.2.3,None,2023-11-13 15h11.12.157475 -0500,
32,20,7,-44,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.580560749862343,,,,,,,,,,,,,,,,,,,,,,,,,,,27.567136874888092,27.580560749862343,29.565853083040565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577393,001,2023-11-13_15h11.03.761,main,2023.2.3,None,2023-11-13 15h11.12.157475 -0500,
2,40,95,-39,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.57465516589582,,,,,,,,,,,,,,,,,,,,,,,,,,,29.56657104101032,29.57465516589582,31.56424425006844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577393,001,2023-11-13_15h11.03.761,main,2023.2.3,None,2023-11-13 15h11.12.157475 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.56440274999477,31.571371250087395,31.571371250087395,43.26416975003667,space,11.687392167048529,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577393,001,2023-11-13_15h11.03.761,main,2023.2.3,None,2023-11-13 15h11.12.157475 -0500,
"10, 70, 56","20, 200, 160","97, 93, 3","-174, -9, -92",1,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.28327408293262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.271484333090484,43.28327408293262,43.28327408293262,45.163989749969915,right,1.8710112920962274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577393,001,2023-11-13_15h11.03.761,main,2023.2.3,None,2023-11-13 15h11.12.157475 -0500,
"313, 9, 33","21, 204, 155","2, 142, 48","264, 198, 211",0,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.17386958305724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.16480579087511,45.17386958305724,45.17386958305724,46.43288137507625,left,1.2583534170407802,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577393,001,2023-11-13_15h11.03.761,main,2023.2.3,None,2023-11-13 15h11.12.157475 -0500,
"112, 216, 128","800, 900, 550","253, 173, 257","-65, -51, -27",1,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.443158499896526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.43375545786694,46.443158499896526,46.443158499896526,47.317608665907755,right,0.8728571261744946,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577393,001,2023-11-13_15h11.03.761,main,2023.2.3,None,2023-11-13 15h11.12.157475 -0500,
"41, 187, 53","272,295,67","6, 168, 34","64, 21, 165",0,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.32989525003359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.318194000050426,47.32989525003359,47.32989525003359,48.889833624940366,left,1.5539894590619951,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577393,001,2023-11-13_15h11.03.761,main,2023.2.3,None,2023-11-13 15h11.12.157475 -0500,
"122, 40, 18","270, 290, 60","465, 323, 97","-84, -100, -244",1,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.899775499943644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8904862080235,48.899775499943644,48.899775499943644,49.90022037504241,right,0.9857885839883238,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577393,001,2023-11-13_15h11.03.761,main,2023.2.3,None,2023-11-13 15h11.12.157475 -0500,
"91, 299, 31","282, 401, 66","134, 72, 188","136, 169, 0",0,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.913758707931265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.90127975004725,49.913758707931265,49.913758707931265,51.73120779101737,left,1.8058522089850157,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577393,001,2023-11-13_15h11.03.761,main,2023.2.3,None,2023-11-13 15h11.12.157475 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.73216770798899,51.739297915948555,51.739297915948555,53.75101420795545,space,1.9999338339548558,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577393,001,2023-11-13_15h11.03.761,main,2023.2.3,None,2023-11-13 15h11.12.157475 -0500,
12,60,39,-845,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.766685541020706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.75734337489121,53.766685541020706,55.76373679097742,55.749681832967326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577393,001,2023-11-13_15h11.03.761,main,2023.2.3,None,2023-11-13 15h11.12.157475 -0500,
32,20,7,-44,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.76373679097742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.74998395796865,55.76373679097742,57.75431045796722,57.74723395798355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577393,001,2023-11-13_15h11.03.761,main,2023.2.3,None,2023-11-13 15h11.12.157475 -0500,
2,40,95,-39,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.75431045796722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.74756662501022,57.75431045796722,59.75781091605313,59.74911312502809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577393,001,2023-11-13_15h11.03.761,main,2023.2.3,None,2023-11-13 15h11.12.157475 -0500,
136,220,55,-59,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.75781091605313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.74979991605505,59.75781091605313,61.75045070797205,61.74716524989344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577393,001,2023-11-13_15h11.03.761,main,2023.2.3,None,2023-11-13 15h11.12.157475 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.74722741590813,61.75045070797205,61.75045070797205,65.79714858299121,space,4.0341326259076595,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577393,001,2023-11-13_15h11.03.761,main,2023.2.3,None,2023-11-13 15h11.12.157475 -0500,
"112, 216, 128","800, 900, 550","253, 173, 257","-65, -51, -27",1,,,,,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.81520437495783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.80297083291225,65.81520437495783,65.81520437495783,69.43356400006451,right,3.616023916983977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577393,001,2023-11-13_15h11.03.761,main,2023.2.3,None,2023-11-13 15h11.12.157475 -0500,
"313, 9, 33","21, 204, 155","2, 142, 48","264, 198, 211",0,,,,,,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.44620458292775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.4356214159634,69.44620458292775,69.44620458292775,70.6824284158647,left,1.2325130000244826,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577393,001,2023-11-13_15h11.03.761,main,2023.2.3,None,2023-11-13 15h11.12.157475 -0500,
"91, 299, 31","282, 401, 66","134, 72, 188","136, 169, 0",0,,,,,,,,,,,,,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.69556295801885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.68403495801613,70.69556295801885,70.69556295801885,72.06797783286311,left,1.3657568760681897,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577393,001,2023-11-13_15h11.03.761,main,2023.2.3,None,2023-11-13 15h11.12.157475 -0500,
"122, 40, 18","270, 290, 60","465, 323, 97","-84, -100, -244",1,,,,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.07961912499741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.06870066607371,72.07961912499741,72.07961912499741,73.71391874994151,right,1.633869667071849,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577393,001,2023-11-13_15h11.03.761,main,2023.2.3,None,2023-11-13 15h11.12.157475 -0500,
"10, 70, 56","20, 200, 160","97, 93, 3","-174, -9, -92",1,,,,,,,,,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.72587029100396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.71462883288041,73.72587029100396,73.72587029100396,75.2638506249059,right,1.534125209087506,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577393,001,2023-11-13_15h11.03.761,main,2023.2.3,None,2023-11-13 15h11.12.157475 -0500,
"41, 187, 53","272,295,67","6, 168, 34","64, 21, 165",0,,,,,,,,,,,,,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.27484450000338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.26444533304311,75.27484450000338,75.27484450000338,76.71394758298993,left,1.4253504590597004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577393,001,2023-11-13_15h11.03.761,main,2023.2.3,None,2023-11-13 15h11.12.157475 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.71441362495534,76.72021045791917,76.72021045791917,78.93461599992588,space,2.2028976250439882,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577393,001,2023-11-13_15h11.03.761,main,2023.2.3,None,2023-11-13 15h11.12.157475 -0500,
2,40,95,-39,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.95335970795713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.94226008304395,78.95335970795713,80.9495336250402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577393,001,2023-11-13_15h11.03.761,main,2023.2.3,None,2023-11-13 15h11.12.157475 -0500,
